Date,Open,High,Low,Adj Close,Volume,Open.1,High.1,Low.1,Adj Close.1,Volume.1,Original Price
2007-01-03,224.6442108154297,229.0878448486328,224.4640655517578,146.69760131835938,7197893,224.6442108154297,229.0878448486328,224.0437164306641,145.11355590820312,16909257.0,145.11355590820312
2007-01-04,228.0069732666016,228.18711853027344,224.8843994140625,145.84754943847656,5210524,224.6442108154297,229.0878448486328,224.0437164306641,145.11355590820312,16909257.0,145.11355590820312
2007-01-05,225.60499572753903,226.7459259033203,224.0437164306641,145.11355590820312,4500840,224.6442108154297,229.0878448486328,224.0437164306641,145.11355590820312,16909257.0,145.11355590820312
2007-01-08,224.8843994140625,226.2054901123047,223.6834259033203,145.0748291015625,3949042,224.8843994140625,228.18711853027344,223.6834259033203,146.3884735107422,21496258.0,146.3884735107422
2007-01-09,226.86602783203125,228.12705993652344,224.34396362304688,145.0748291015625,4096205,224.8843994140625,228.18711853027344,223.6834259033203,146.3884735107422,21496258.0,146.3884735107422
2007-01-10,224.4640655517578,225.8451995849609,224.223861694336,145.11355590820312,3996154,224.8843994140625,228.18711853027344,223.6834259033203,146.3884735107422,21496258.0,146.3884735107422
2007-01-11,225.1846466064453,227.9469146728516,224.70425415039065,146.50439453125,5134403,224.8843994140625,228.18711853027344,223.6834259033203,146.3884735107422,21496258.0,146.3884735107422
2007-01-12,227.2263336181641,228.18711853027344,226.2054901123047,146.3884735107422,4320454,224.8843994140625,228.18711853027344,223.6834259033203,146.3884735107422,21496258.0,146.3884735107422
2007-01-16,228.18711853027344,229.68833923339844,227.7667694091797,147.2384490966797,5182114,228.18711853027344,229.8684844970703,221.2814483642578,142.7567596435547,27658968.0,142.7567596435547
2007-01-17,229.2680053710937,229.8684844970703,227.286376953125,146.73619079589844,5072970,228.18711853027344,229.8684844970703,221.2814483642578,142.7567596435547,27658968.0,142.7567596435547
2007-01-18,228.2471618652344,229.2079467773437,223.74346923828125,146.81346130371094,6928148,228.18711853027344,229.8684844970703,221.2814483642578,142.7567596435547,27658968.0,142.7567596435547
2007-01-19,223.0829315185547,225.1846466064453,221.2814483642578,142.7567596435547,10475736,228.18711853027344,229.8684844970703,221.2814483642578,142.7567596435547,27658968.0,142.7567596435547
2007-01-22,222.9628295898437,224.163818359375,219.7201690673828,141.9840545654297,6891794,222.9628295898437,224.163818359375,216.23731994628903,139.35687255859375,24935069.0,139.35687255859375
2007-01-23,220.2606201171875,220.62091064453125,218.45913696289065,141.21133422851562,5851198,222.9628295898437,224.163818359375,216.23731994628903,139.35687255859375,24935069.0,139.35687255859375
2007-01-24,220.38070678710932,220.6809539794922,219.29981994628903,141.55906677246094,3573484,222.9628295898437,224.163818359375,216.23731994628903,139.35687255859375,24935069.0,139.35687255859375
2007-01-25,220.08045959472656,220.38070678710932,217.7385406494141,140.4000244140625,4301503,222.9628295898437,224.163818359375,216.23731994628903,139.35687255859375,24935069.0,139.35687255859375
2007-01-26,218.8794860839844,219.47998046875,216.23731994628903,139.35687255859375,4317090,222.9628295898437,224.163818359375,216.23731994628903,139.35687255859375,24935069.0,139.35687255859375
2007-01-29,216.5976104736328,218.27899169921875,216.3574066162109,139.82046508789062,4154507,216.5976104736328,218.5792388916016,214.736083984375,140.1295166015625,27848812.0,140.1295166015625
2007-01-30,217.3782501220703,218.21893310546875,214.736083984375,139.20233154296875,7184454,216.5976104736328,218.5792388916016,214.736083984375,140.1295166015625,27848812.0,140.1295166015625
2007-01-31,216.17726135253903,217.49835205078125,215.15643310546875,139.27955627441406,6022441,216.5976104736328,218.5792388916016,214.736083984375,140.1295166015625,27848812.0,140.1295166015625
2007-02-01,217.25814819335932,217.6184539794922,214.736083984375,139.97499084472656,6306308,216.5976104736328,218.5792388916016,214.736083984375,140.1295166015625,27848812.0,140.1295166015625
2007-02-02,217.7385406494141,218.5792388916016,216.8978576660156,140.1295166015625,4181102,216.5976104736328,218.5792388916016,214.736083984375,140.1295166015625,27848812.0,140.1295166015625
2007-02-05,217.7985992431641,219.05963134765625,217.3782501220703,140.515869140625,4363436,217.7985992431641,219.05963134765625,213.05470275878903,137.27059936523438,22280182.0,137.27059936523438
2007-02-06,218.5792388916016,218.8194274902344,217.5583953857422,140.2840576171875,3785227,217.7985992431641,219.05963134765625,213.05470275878903,137.27059936523438,22280182.0,137.27059936523438
2007-02-07,218.09884643554688,218.27899169921875,216.53756713867188,139.47279357910156,3559029,217.7985992431641,219.05963134765625,213.05470275878903,137.27059936523438,22280182.0,137.27059936523438
2007-02-08,216.53756713867188,216.53756713867188,213.7752990722656,138.08192443847656,5608431,217.7985992431641,219.05963134765625,213.05470275878903,137.27059936523438,22280182.0,137.27059936523438
2007-02-09,214.4358367919922,215.2164764404297,213.05470275878903,137.27059936523438,4964059,217.7985992431641,219.05963134765625,213.05470275878903,137.27059936523438,22280182.0,137.27059936523438
2007-02-12,213.4750518798828,215.4566802978516,213.4750518798828,137.6956024169922,3165785,213.4750518798828,219.1797332763672,213.4750518798828,138.5841522216797,22240015.0,138.5841522216797
2007-02-13,214.01548767089844,215.57676696777344,214.01548767089844,138.1977996826172,3824028,213.4750518798828,219.1797332763672,213.4750518798828,138.5841522216797,22240015.0,138.5841522216797
2007-02-14,215.7569274902344,219.1797332763672,214.91622924804688,140.9022674560547,5313656,213.4750518798828,219.1797332763672,213.4750518798828,138.5841522216797,22240015.0,138.5841522216797
