Date,Open,High,Low,Adj Close,Volume,Open.1,High.1,Low.1,Adj Close.1,Volume.1,Original Price
2007-01-04,17322.5,17379.460938,17315.759766,17353.669922,80100000.0,17322.5,17379.460938,17011.099609,17091.589844,238700000.0,17091.589844
2007-01-05,17315.539063,17327.130859,17011.099609,17091.589844,158600000.0,17322.5,17379.460938,17011.099609,17091.589844,238700000.0,17091.589844
2007-01-09,17018.890625,17261.029297,16983.970703,17237.769531,142400000.0,17018.890625,17261.029297,16758.460938,17057.009766,537200000.0,17057.009766
2007-01-10,17192.419922,17199.419922,16847.570313,16942.400391,133500000.0,17018.890625,17261.029297,16758.460938,17057.009766,537200000.0,17057.009766
2007-01-11,16958.570313,17057.449219,16758.460938,16838.169922,121900000.0,17018.890625,17261.029297,16758.460938,17057.009766,537200000.0,17057.009766
2007-01-12,16979.730469,17160.769531,16941.390625,17057.009766,139400000.0,17018.890625,17261.029297,16758.460938,17057.009766,537200000.0,17057.009766
2007-01-15,17160.25,17273.580078,17144.439453,17209.919922,124400000.0,17160.25,17408.619141,17002.669922,17310.439453,670100000.0,17310.439453
2007-01-16,17190.900391,17287.960938,17175.849609,17202.460938,128500000.0,17160.25,17408.619141,17002.669922,17310.439453,670100000.0,17310.439453
2007-01-17,17153.25,17335.029297,17002.669922,17261.349609,147000000.0,17160.25,17408.619141,17002.669922,17310.439453,670100000.0,17310.439453
2007-01-18,17248.140625,17408.619141,17220.419922,17370.929688,148800000.0,17160.25,17408.619141,17002.669922,17310.439453,670100000.0,17310.439453
2007-01-19,17340.380859,17378.210938,17242.769531,17310.439453,121400000.0,17160.25,17408.619141,17002.669922,17310.439453,670100000.0,17310.439453
2007-01-22,17429.900391,17484.589844,17401.320313,17424.179688,125600000.0,17429.900391,17617.640625,17300.839844,17421.929688,772400000.0,17421.929688
2007-01-23,17350.310547,17442.0,17321.289063,17408.570313,161200000.0,17429.900391,17617.640625,17300.839844,17421.929688,772400000.0,17421.929688
2007-01-24,17505.310547,17553.029297,17498.359375,17507.400391,192300000.0,17429.900391,17617.640625,17300.839844,17421.929688,772400000.0,17421.929688
2007-01-25,17604.599609,17617.640625,17427.539063,17458.300781,158900000.0,17429.900391,17617.640625,17300.839844,17421.929688,772400000.0,17421.929688
2007-01-26,17368.050781,17421.929688,17300.839844,17421.929688,134400000.0,17429.900391,17617.640625,17300.839844,17421.929688,772400000.0,17421.929688
2007-01-29,17393.189453,17489.589844,17319.369141,17470.460938,149200000.0,17393.189453,17633.609375,17275.839844,17547.109375,780100000.0,17547.109375
2007-01-30,17510.0,17558.529297,17452.630859,17490.189453,155000000.0,17393.189453,17633.609375,17275.839844,17547.109375,780100000.0,17547.109375
2007-01-31,17493.830078,17497.859375,17275.839844,17383.419922,146100000.0,17393.189453,17633.609375,17275.839844,17547.109375,780100000.0,17547.109375
2007-02-01,17377.029297,17543.960938,17361.009766,17519.5,167800000.0,17393.189453,17633.609375,17275.839844,17547.109375,780100000.0,17547.109375
2007-02-02,17569.160156,17633.609375,17532.640625,17547.109375,162000000.0,17393.189453,17633.609375,17275.839844,17547.109375,780100000.0,17547.109375
2007-02-05,17531.410156,17531.410156,17294.980469,17344.800781,152400000.0,17531.410156,17545.710938,17199.660156,17504.330078,782800000.0,17504.330078
2007-02-06,17384.5,17433.269531,17345.099609,17406.859375,157000000.0,17531.410156,17545.710938,17199.660156,17504.330078,782800000.0,17504.330078
2007-02-07,17367.910156,17374.820313,17199.660156,17292.320313,172200000.0,17531.410156,17545.710938,17199.660156,17504.330078,782800000.0,17504.330078
2007-02-08,17368.349609,17400.349609,17212.779297,17292.480469,141700000.0,17531.410156,17545.710938,17199.660156,17504.330078,782800000.0,17504.330078
2007-02-09,17339.560547,17545.710938,17274.890625,17504.330078,159500000.0,17531.410156,17545.710938,17199.660156,17504.330078,782800000.0,17504.330078
2007-02-13,17481.769531,17628.029297,17440.429688,17621.449219,169900000.0,17481.769531,17911.580078,17440.429688,17875.650391,623800000.0,17875.650391
2007-02-14,17662.289063,17789.919922,17648.810547,17752.640625,164900000.0,17481.769531,17911.580078,17440.429688,17875.650391,623800000.0,17875.650391
2007-02-15,17891.240234,17911.580078,17815.169922,17897.230469,151400000.0,17481.769531,17911.580078,17440.429688,17875.650391,623800000.0,17875.650391
2007-02-16,17828.779297,17884.890625,17793.349609,17875.650391,137600000.0,17481.769531,17911.580078,17440.429688,17875.650391,623800000.0,17875.650391
2007-02-19,17835.130859,17974.0,17810.050781,17940.089844,136900000.0,17835.130859,18239.130859,17810.050781,18188.419922,877000000.0,18188.419922
2007-02-20,17919.330078,17953.029297,17828.949219,17939.119141,152300000.0,17835.130859,18239.130859,17810.050781,18188.419922,877000000.0,18188.419922
2007-02-21,17896.599609,17968.259766,17850.089844,17913.210938,211200000.0,17835.130859,18239.130859,17810.050781,18188.419922,877000000.0,18188.419922
2007-02-22,18033.230469,18132.839844,18024.480469,18108.789063,183200000.0,17835.130859,18239.130859,17810.050781,18188.419922,877000000.0,18188.419922
2007-02-23,18113.560547,18239.130859,18046.419922,18188.419922,193400000.0,17835.130859,18239.130859,17810.050781,18188.419922,877000000.0,18188.419922
2007-02-26,18219.75,18300.390625,18145.419922,18215.349609,194900000.0,18219.75,18300.390625,17160.429688,17217.929688,1063500000.0,17217.929688
2007-02-27,18239.300781,18272.679688,18073.220703,18119.919922,197900000.0,18219.75,18300.390625,17160.429688,17217.929688,1063500000.0,17217.929688
2007-02-28,17843.609375,17843.609375,17382.789063,17604.119141,250300000.0,18219.75,18300.390625,17160.429688,17217.929688,1063500000.0,17217.929688
2007-03-01,17542.230469,17557.419922,17261.599609,17453.509766,222300000.0,18219.75,18300.390625,17160.429688,17217.929688,1063500000.0,17217.929688
2007-03-02,17351.400391,17356.449219,17160.429688,17217.929688,198100000.0,18219.75,18300.390625,17160.429688,17217.929688,1063500000.0,17217.929688
2007-03-05,16992.439453,16992.439453,16532.910156,16642.25,210900000.0,16992.439453,17246.210938,16532.910156,17164.039063,1049200000.0,17164.039063
2007-03-06,16654.849609,16882.919922,16649.099609,16844.5,210000000.0,16992.439453,17246.210938,16532.910156,17164.039063,1049200000.0,17164.039063
2007-03-07,16982.300781,16988.009766,16731.769531,16764.619141,217400000.0,16992.439453,17246.210938,16532.910156,17164.039063,1049200000.0,17164.039063
2007-03-08,16729.789063,17090.310547,16685.949219,17090.310547,179300000.0,16992.439453,17246.210938,16532.910156,17164.039063,1049200000.0,17164.039063
2007-03-09,17224.669922,17246.210938,17100.740234,17164.039063,231600000.0,16992.439453,17246.210938,16532.910156,17164.039063,1049200000.0,17164.039063
2007-03-12,17312.140625,17325.449219,17206.939453,17292.390625,130000000.0,17312.140625,17325.449219,16628.849609,16744.150391,767100000.0,16744.150391
2007-03-13,17268.710938,17299.480469,17153.199219,17178.839844,135200000.0,17312.140625,17325.449219,16628.849609,16744.150391,767100000.0,16744.150391
2007-03-14,16936.189453,16936.189453,16628.849609,16676.890625,163700000.0,17312.140625,17325.449219,16628.849609,16744.150391,767100000.0,16744.150391
2007-03-15,16803.990234,16942.310547,16760.679688,16860.390625,164900000.0,17312.140625,17325.449219,16628.849609,16744.150391,767100000.0,16744.150391
2007-03-16,16779.480469,16939.429688,16643.759766,16744.150391,173300000.0,17312.140625,17325.449219,16628.849609,16744.150391,767100000.0,16744.150391
2007-03-19,16713.990234,17026.460938,16713.990234,17009.550781,130800000.0,16713.990234,17534.769531,16713.990234,17480.609375,535200000.0,17480.609375
2007-03-20,17155.349609,17267.740234,17146.529297,17163.199219,129400000.0,16713.990234,17534.769531,16713.990234,17480.609375,535200000.0,17480.609375
2007-03-22,17383.619141,17489.189453,17379.400391,17419.199219,146500000.0,16713.990234,17534.769531,16713.990234,17480.609375,535200000.0,17480.609375
2007-03-23,17519.509766,17534.769531,17407.970703,17480.609375,128500000.0,16713.990234,17534.769531,16713.990234,17480.609375,535200000.0,17480.609375
2007-03-26,17517.919922,17558.039063,17425.0,17521.960938,91900000.0,17517.919922,17558.039063,17036.220703,17287.650391,630600000.0,17287.650391
2007-03-27,17357.259766,17516.890625,17315.910156,17365.050781,125700000.0,17517.919922,17558.039063,17036.220703,17287.650391,630600000.0,17287.650391
2007-03-28,17328.119141,17442.619141,17141.650391,17254.730469,153000000.0,17517.919922,17558.039063,17036.220703,17287.650391,630600000.0,17287.650391
2007-03-29,17119.949219,17350.880859,17036.220703,17263.939453,144700000.0,17517.919922,17558.039063,17036.220703,17287.650391,630600000.0,17287.650391
2007-03-30,17318.849609,17380.800781,17267.099609,17287.650391,115300000.0,17517.919922,17558.039063,17036.220703,17287.650391,630600000.0,17287.650391
2007-04-02,17346.25,17425.740234,16999.050781,17028.410156,153900000.0,17346.25,17576.509766,16999.050781,17484.779297,710100000.0,17484.779297
2007-04-03,17154.779297,17279.730469,17095.919922,17244.050781,152000000.0,17346.25,17576.509766,16999.050781,17484.779297,710100000.0,17484.779297
2007-04-04,17400.679688,17576.509766,17394.140625,17544.089844,150400000.0,17346.25,17576.509766,16999.050781,17484.779297,710100000.0,17484.779297
2007-04-05,17507.460938,17531.300781,17430.380859,17491.419922,132800000.0,17346.25,17576.509766,16999.050781,17484.779297,710100000.0,17484.779297
2007-04-06,17502.900391,17560.300781,17422.550781,17484.779297,121000000.0,17346.25,17576.509766,16999.050781,17484.779297,710100000.0,17484.779297
2007-04-09,17606.029297,17747.820313,17606.029297,17743.759766,124500000.0,17606.029297,17747.820313,17327.369141,17363.949219,625800000.0,17363.949219
2007-04-10,17631.019531,17706.919922,17613.150391,17664.689453,131300000.0,17606.029297,17747.820313,17327.369141,17363.949219,625800000.0,17363.949219
2007-04-11,17699.390625,17723.390625,17618.189453,17670.070313,113800000.0,17606.029297,17747.820313,17327.369141,17363.949219,625800000.0,17363.949219
2007-04-12,17601.650391,17601.650391,17455.179688,17540.419922,122200000.0,17606.029297,17747.820313,17327.369141,17363.949219,625800000.0,17363.949219
2007-04-13,17629.019531,17662.890625,17327.369141,17363.949219,134000000.0,17606.029297,17747.820313,17327.369141,17363.949219,625800000.0,17363.949219
2007-04-16,17507.179688,17696.869141,17507.179688,17628.300781,111900000.0,17507.179688,17782.080078,17219.730469,17452.619141,623100000.0,17452.619141
2007-04-17,17750.669922,17782.080078,17452.119141,17527.449219,125200000.0,17507.179688,17782.080078,17219.730469,17452.619141,623100000.0,17452.619141
2007-04-18,17557.400391,17706.849609,17538.339844,17667.330078,119900000.0,17507.179688,17782.080078,17219.730469,17452.619141,623100000.0,17452.619141
2007-04-19,17530.0,17530.0,17219.730469,17371.970703,142600000.0,17507.179688,17782.080078,17219.730469,17452.619141,623100000.0,17452.619141
2007-04-20,17471.560547,17502.019531,17404.619141,17452.619141,123500000.0,17507.179688,17782.080078,17219.730469,17452.619141,623100000.0,17452.619141
2007-04-23,17589.609375,17656.550781,17413.640625,17455.369141,123700000.0,17589.609375,17656.550781,17221.550781,17400.410156,638500000.0,17400.410156
2007-04-24,17363.839844,17500.339844,17305.779297,17451.769531,116000000.0,17589.609375,17656.550781,17221.550781,17400.410156,638500000.0,17400.410156
2007-04-25,17379.519531,17379.519531,17221.550781,17236.160156,115100000.0,17589.609375,17656.550781,17221.550781,17400.410156,638500000.0,17400.410156
2007-04-26,17359.839844,17496.109375,17321.050781,17429.169922,129900000.0,17589.609375,17656.550781,17221.550781,17400.410156,638500000.0,17400.410156
2007-04-27,17377.039063,17542.25,17299.369141,17400.410156,153800000.0,17589.609375,17656.550781,17221.550781,17400.410156,638500000.0,17400.410156
2007-05-01,17396.300781,17396.300781,17203.029297,17274.980469,120300000.0,17396.300781,17441.099609,17203.029297,17394.919922,233800000.0,17394.919922
2007-05-02,17310.75,17441.099609,17227.089844,17394.919922,113500000.0,17396.300781,17441.099609,17203.029297,17394.919922,233800000.0,17394.919922
2007-05-07,17564.169922,17715.990234,17558.240234,17669.830078,149500000.0,17564.169922,17827.480469,17455.279297,17553.720703,791900000.0,17553.720703
